,0
1115,AKR1E2|83592
1116,ALOX5|240
1117,ANK3|288
1118,ANKRD1|27063
1119,ANKRD22|118932
1120,ANKRD2|26287
1121,ANKRD30A|91074
1122,ANXA2P3|305
1123,ANXA8L1|728113
1124,ANXA8|653145
1125,APBB1IP|54518
1126,ARHGAP22|58504
1127,ARID5B|84159
1128,ARL5B|221079
1129,ARMC3|219681
1130,ARMC4|55130
1131,AS3MT|57412
1132,ASAH2B|653308
1133,ASAH2|56624
1134,ATE1|11101
1135,ATOH7|220202
1136,ATRNL1|26033
1137,AVPI1|60370
1138,BAG3|9531
1139,BAMBI|25805
1140,BEND7|222389
1141,BICC1|80114
1142,BLNK|29760
1143,BMS1P4|729096
1144,BMS1P5|399761
1145,BNIP3|664
1146,BTBD16|118663
1147,C10orf105|414152
1148,C10orf107|219621
1149,C10orf108|414235
1150,C10orf10|11067
1151,C10orf110|55853
1152,C10orf114|399726
1153,C10orf116|10974
1154,C10orf118|55088
1155,C10orf11|83938
1156,C10orf125|282969
1157,C10orf128|170371
1158,C10orf129|142827
1159,C10orf140|387640
1160,C10orf25|220979
1161,C10orf27|219793
1162,C10orf35|219738
1163,C10orf41|100131213
1164,C10orf47|254427
1165,C10orf54|64115
1166,C10orf55|414236
1167,C10orf58|84293
1168,C10orf67|256815
1169,C10orf68|79741
1170,C10orf71|118461
1171,C10orf72|196740
1172,C10orf75|90271
1173,C10orf79|80217
1174,C10orf81|79949
1175,C10orf82|143379
1176,C10orf90|118611
1177,C10orf91|170393
1178,C10orf95|79946
1179,C10orf99|387695
1180,C1QL3|389941
1181,CACNB2|783
1182,CALHM1|255022
1183,CALHM2|51063
1184,CALHM3|119395
1185,CALML3|810
1186,CALML5|51806
1187,CALY|50632
1188,CAMK1D|57118
1189,CASC2|255082
1190,CC2D2B|387707
1191,CCDC147|159686
1192,CCDC3|83643
1193,CDH23|64072
1194,CDHR1|92211
1195,CDK1|983
1196,CDNF|441549
1197,CELF2|10659
1198,CEP55|55165
1199,CH25H|9023
1200,CHST15|51363
1201,CHST3|9469
1202,CLRN3|119467
1203,CNNM1|26507
1204,COL13A1|1305
1205,COL17A1|1308
1206,COMTD1|118881
1207,CPEB3|22849
1208,CPN1|1369
1209,CPXM2|119587
1210,CRTAC1|55118
1211,CTNNA3|29119
1212,CUBN|8029
1213,CUZD1|50624
1214,CXCL12|6387
1215,CYP17A1|1586
1216,CYP26A1|1592
1217,CYP26C1|340665
1218,CYP2C18|1562
1219,CYP2C19|1557
1220,CYP2C8|1558
1221,CYP2C9|1559
1222,CYP2E1|1571
1223,DDIT4|54541
1224,DDX21|9188
1225,DHDPSL|112817
1226,DIP2C|22982
1227,DKK1|22943
1228,DLG5|9231
1229,DMBT1|1755
1230,DNA2|1763
1231,DNAJC12|56521
1232,DNTT|1791
1233,DOCK1|1793
1234,DPYSL4|10570
1235,DRGX|644168
1236,DUSP13|51207
